real_fraction,seed,generation,circuit_type,acc_all,induction_best,induction_legacy,causal_drop_set,causal_drop_L1,min_ov_copy_L1,max_ov_copy_L1
0.0,0,0,canonical,1.0,0.9617,0.9552,0.872,0.8862,0.01,1.84
0.0,0,5,canonical,1.0,0.9516,0.9538,0.7806,0.8059,-0.19,2.99
0.0,1,0,canonical,1.0,0.956,0.9567,0.8723,0.8723,0.01,2.73
0.0,1,5,canonical,0.9998,0.9664,0.9633,0.7524,0.8062,0.23,1.32
0.0,2,0,canonical,1.0,0.9285,0.9303,0.7249,0.8082,0.0,4.61
0.0,2,5,canonical,1.0,0.9538,0.9544,0.7514,0.8328,0.21,3.48
0.1,0,0,canonical,1.0,0.9617,0.9552,0.872,0.8862,0.01,1.84
0.1,0,5,canonical,1.0,0.9449,0.9465,0.7679,0.8297,0.14,4.37
0.1,1,0,canonical,1.0,0.956,0.9567,0.8723,0.8723,0.01,2.73
0.1,1,5,canonical,0.9999,0.9595,0.9647,0.8865,0.9036,-0.41,1.67
0.1,2,0,canonical,1.0,0.9285,0.9303,0.7249,0.8082,0.0,4.61
0.1,2,5,canonical,0.9999,0.9684,0.9702,0.8097,0.9323,0.02,1.93
0.25,0,0,canonical,1.0,0.9617,0.9552,0.872,0.8862,0.01,1.84
0.25,0,5,canonical,1.0,0.9414,0.9423,0.8488,0.8488,0.06,4.27
0.25,1,0,canonical,1.0,0.956,0.9567,0.8723,0.8723,0.01,2.73
0.25,1,5,canonical,0.9999,0.9642,0.9689,0.9339,0.9339,0.13,2.05
0.25,2,0,canonical,1.0,0.9285,0.9303,0.7249,0.8082,0.0,4.61
0.25,2,5,canonical,0.9993,0.9759,0.9782,0.6709,0.7791,0.17,1.7
0.5,0,0,canonical,1.0,0.9617,0.9552,0.872,0.8862,0.01,1.84
0.5,0,5,canonical,0.991,0.8431,0.8577,0.4094,0.6058,0.18,1.92
0.5,1,0,canonical,1.0,0.956,0.9567,0.8723,0.8723,0.01,2.73
0.5,1,5,canonical,0.9988,0.7086,0.7392,0.8284,0.8284,0.54,1.1
0.5,2,0,canonical,1.0,0.9285,0.9303,0.7249,0.8082,0.0,4.61
0.5,2,5,canonical,1.0,0.9819,0.9816,0.7928,0.8862,0.03,3.3
1.0,0,0,canonical,1.0,0.9617,0.9552,0.872,0.8862,0.01,1.84
1.0,0,5,canonical,1.0,0.9431,0.946,0.7278,0.806,-0.22,3.2
1.0,1,0,canonical,1.0,0.956,0.9567,0.8723,0.8723,0.01,2.73
1.0,1,5,canonical,1.0,0.9239,0.9284,0.6045,0.8352,-0.33,3.98
1.0,2,0,canonical,1.0,0.9285,0.9303,0.7249,0.8082,0.0,4.61
1.0,2,5,canonical,1.0,0.9639,0.9686,0.6178,0.76,0.23,2.97
