real_fraction,seed,generation,circuit_type,acc_all,induction_best,induction_legacy,causal_drop_set,causal_drop_L1,min_ov_copy_L1,max_ov_copy_L1
0.0,0,0,canonical,1.0,0.9393,0.9367,0.6975,0.7294,0.12,1.98
0.0,0,5,canonical,0.9995,0.9731,0.971,0.8448,0.9951,-0.95,2.55
0.0,1,0,canonical,1.0,0.9425,0.9428,0.733,0.953,0.01,2.26
0.0,1,5,canonical,0.9996,0.9525,0.9519,0.704,0.9889,-0.85,3.21
0.0,2,0,canonical,1.0,0.9111,0.9243,0.513,0.5688,0.32,4.31
0.0,2,5,canonical,0.9996,0.9506,0.9576,0.954,0.954,0.02,1.17
0.1,0,0,canonical,1.0,0.9393,0.9367,0.6975,0.7294,0.12,1.98
0.1,0,5,canonical,0.9998,0.9758,0.9748,0.7491,0.9919,-0.9,3.09
0.1,1,0,canonical,1.0,0.9425,0.9428,0.733,0.953,0.01,2.26
0.1,1,5,canonical,0.9999,0.9717,0.9697,0.9833,0.9833,-0.16,0.31
0.1,2,0,canonical,1.0,0.9111,0.9243,0.513,0.5688,0.32,4.31
0.1,2,5,canonical,0.9996,0.9459,0.9436,0.6186,0.7413,0.06,2.38
0.25,0,0,canonical,1.0,0.9393,0.9367,0.6975,0.7294,0.12,1.98
0.25,0,5,canonical,0.9999,0.9726,0.9723,0.7468,0.9922,-1.03,3.07
0.25,1,0,canonical,1.0,0.9425,0.9428,0.733,0.953,0.01,2.26
0.25,1,5,canonical,0.9999,0.9639,0.9595,0.8212,0.9545,-1.14,3.59
0.25,2,0,canonical,1.0,0.9111,0.9243,0.513,0.5688,0.32,4.31
0.25,2,5,canonical,0.9996,0.9725,0.9671,0.9337,0.9337,0.12,2.32
0.5,0,0,canonical,1.0,0.9393,0.9367,0.6975,0.7294,0.12,1.98
0.5,0,5,canonical,0.9999,0.9639,0.9674,0.8412,0.9999,-1.03,3.73
0.5,1,0,canonical,1.0,0.9425,0.9428,0.733,0.953,0.01,2.26
0.5,1,5,canonical,1.0,0.9529,0.9584,0.9569,0.9569,-0.46,0.76
0.5,2,0,canonical,1.0,0.9111,0.9243,0.513,0.5688,0.32,4.31
0.5,2,5,canonical,0.9997,0.9488,0.7357,0.6656,0.8304,-0.09,2.0
1.0,0,0,canonical,1.0,0.9393,0.9367,0.6975,0.7294,0.12,1.98
1.0,0,5,canonical,1.0,0.9446,0.9455,0.8304,0.9994,-1.05,3.88
1.0,1,0,canonical,1.0,0.9425,0.9428,0.733,0.953,0.01,2.26
1.0,1,5,canonical,0.9998,0.9368,0.9383,0.822,0.9636,-1.47,2.74
1.0,2,0,canonical,1.0,0.9111,0.9243,0.513,0.5688,0.32,4.31
1.0,2,5,canonical,0.9998,0.9297,0.4979,0.7479,0.895,-0.11,1.37
