series,real_fraction,mean_final,sd_final,n_seeds
Extended: conditional diversity,0.0,0.819,0.0217,3
Extended: conditional diversity,0.1,0.858,0.0181,3
Extended: conditional diversity,0.25,0.8614,0.0263,3
Extended: conditional diversity,0.5,0.898,0.0315,3
Extended: conditional diversity,1.0,0.897,0.0176,3
Extended: induction strength,0.0,0.9593,0.0091,3
Extended: induction strength,0.1,0.9654,0.0126,3
Extended: induction strength,0.25,0.9694,0.0045,3
Extended: induction strength,0.5,0.955,0.0067,3
Extended: induction strength,1.0,0.9375,0.0065,3
Base: induction (control),0.0,0.9577,0.0074,3
Base: induction (control),0.1,0.9574,0.0093,3
Base: induction (control),0.25,0.9601,0.0138,3
Base: induction (control),0.5,0.8425,0.1133,3
Base: induction (control),1.0,0.9423,0.0161,3
Extended: off-context mass,0.0,0.0521,0.0049,3
Extended: off-context mass,0.1,0.0439,0.0032,3
Extended: off-context mass,0.25,0.0311,0.0025,3
Extended: off-context mass,0.5,0.0218,0.0025,3
Extended: off-context mass,1.0,0.0117,0.0011,3

metric,real_fraction,generation,mean,sd,n_not_converged
extended:cond_diversity,0.0,0,0.9941,0.0002,0
extended:cond_diversity,0.0,1,0.9114,0.016,0
extended:cond_diversity,0.0,2,0.8671,0.0384,0
extended:cond_diversity,0.0,3,0.8603,0.0455,0
extended:cond_diversity,0.0,4,0.866,0.0235,0
extended:cond_diversity,0.0,5,0.819,0.0217,0
extended:cond_diversity,0.1,0,0.9941,0.0002,0
extended:cond_diversity,0.1,1,0.9354,0.0109,0
extended:cond_diversity,0.1,2,0.8741,0.0231,0
extended:cond_diversity,0.1,3,0.8898,0.0364,0
extended:cond_diversity,0.1,4,0.8903,0.0239,0
extended:cond_diversity,0.1,5,0.858,0.0181,0
extended:cond_diversity,0.25,0,0.9941,0.0002,0
extended:cond_diversity,0.25,1,0.9123,0.0202,0
extended:cond_diversity,0.25,2,0.8763,0.0151,0
extended:cond_diversity,0.25,3,0.8697,0.0197,0
extended:cond_diversity,0.25,4,0.8869,0.0217,0
extended:cond_diversity,0.25,5,0.8614,0.0263,0
extended:cond_diversity,0.5,0,0.9941,0.0002,0
extended:cond_diversity,0.5,1,0.913,0.0303,0
extended:cond_diversity,0.5,2,0.881,0.0145,0
extended:cond_diversity,0.5,3,0.9008,0.0332,0
extended:cond_diversity,0.5,4,0.9147,0.0276,0
extended:cond_diversity,0.5,5,0.898,0.0315,0
extended:cond_diversity,1.0,0,0.9941,0.0002,0
extended:cond_diversity,1.0,1,0.9041,0.0212,0
extended:cond_diversity,1.0,2,0.8926,0.0208,0
extended:cond_diversity,1.0,3,0.9044,0.0255,0
extended:cond_diversity,1.0,4,0.9215,0.0201,0
extended:cond_diversity,1.0,5,0.897,0.0176,0
extended:slot_entropy,0.0,0,0.9992,0.0007,0
extended:slot_entropy,0.0,1,0.9992,0.0003,0
extended:slot_entropy,0.0,2,0.9998,0.0001,0
extended:slot_entropy,0.0,3,0.9994,0.0003,0
extended:slot_entropy,0.0,4,0.9986,0.0004,0
extended:slot_entropy,0.0,5,0.9987,0.0002,0
extended:slot_entropy,0.1,0,0.9992,0.0007,0
extended:slot_entropy,0.1,1,0.9983,0.001,0
extended:slot_entropy,0.1,2,0.9993,0.0002,0
extended:slot_entropy,0.1,3,0.9979,0.0027,0
extended:slot_entropy,0.1,4,0.9983,0.0011,0
extended:slot_entropy,0.1,5,0.9981,0.0018,0
extended:slot_entropy,0.25,0,0.9992,0.0007,0
extended:slot_entropy,0.25,1,0.9983,0.0007,0
extended:slot_entropy,0.25,2,0.9989,0.0004,0
extended:slot_entropy,0.25,3,0.9987,0.0002,0
extended:slot_entropy,0.25,4,0.9974,0.0016,0
extended:slot_entropy,0.25,5,0.9987,0.0009,0
extended:slot_entropy,0.5,0,0.9992,0.0007,0
extended:slot_entropy,0.5,1,0.999,0.0006,0
extended:slot_entropy,0.5,2,0.999,0.0002,0
extended:slot_entropy,0.5,3,0.9987,0.0007,0
extended:slot_entropy,0.5,4,0.9983,0.0011,0
extended:slot_entropy,0.5,5,0.9983,0.0007,0
extended:slot_entropy,1.0,0,0.9992,0.0007,0
extended:slot_entropy,1.0,1,0.9991,0.0003,0
extended:slot_entropy,1.0,2,0.9988,0.0007,0
extended:slot_entropy,1.0,3,0.9982,0.0015,0
extended:slot_entropy,1.0,4,0.9991,0.0001,0
extended:slot_entropy,1.0,5,0.9987,0.0006,0
extended:induction_best,0.0,0,0.9302,0.0146,0
extended:induction_best,0.0,1,0.9347,0.0125,0
extended:induction_best,0.0,2,0.9607,0.0111,0
extended:induction_best,0.0,3,0.9683,0.0045,0
extended:induction_best,0.0,4,0.9667,0.0132,0
extended:induction_best,0.0,5,0.9593,0.0091,0
extended:induction_best,0.1,0,0.9302,0.0146,0
extended:induction_best,0.1,1,0.9283,0.011,0
extended:induction_best,0.1,2,0.9756,0.0079,0
extended:induction_best,0.1,3,0.8668,0.1174,0
extended:induction_best,0.1,4,0.9599,0.0105,0
extended:induction_best,0.1,5,0.9654,0.0126,0
extended:induction_best,0.25,0,0.9302,0.0146,0
extended:induction_best,0.25,1,0.7215,0.3118,0
